applicant_id,issue_date,year,month,region,region_unemp,gender,race,age_group,education,employment_status,annual_income,credit_score,loan_amount,debt_to_income,interest_rate,default
201501_44,2015-01-03,2015,1,MW,0.048955159735215234,female,white,30-44,master,employed,89446.06,655,22746.0,0.202,0.01,0
201501_45,2015-01-21,2015,1,S,0.05045306272602631,female,white,60+,other,self-employed,44336.38,598,9234.99,0.279,0.01,1
201501_46,2015-01-26,2015,1,MW,0.052013971554680495,female,hispanic,18-29,highschool,employed,40044.35,586,8273.1,0.263,0.01,0
201501_47,2015-01-08,2015,1,S,0.047990744686038596,female,white,30-44,other,employed,52967.96,673,12005.3,0.203,0.01,0
201501_48,2015-01-16,2015,1,S,0.057934285469001354,female,asian,60+,bachelor,self-employed,52809.61,607,14090.94,0.095,0.01,0
201501_49,2015-01-02,2015,1,NE,0.060952278129049894,female,white,30-44,highschool,unemployed,8000.0,690,1000.0,0.252,0.01,0
201501_50,2015-01-06,2015,1,W,0.04304731837434656,female,white,30-44,bachelor,employed,53712.8,579,18451.22,0.245,0.01,1
201501_51,2015-01-21,2015,1,S,0.05216851135198614,male,black,45-59,other,employed,43004.44,701,7172.68,0.351,0.01,1
201501_52,2015-01-26,2015,1,W,0.04849825682543821,male,black,30-44,bachelor,employed,65173.66,660,15545.93,0.178,0.01,0
201501_53,2015-01-25,2015,1,W,0.045482621729419005,male,hispanic,30-44,highschool,employed,41024.15,637,8497.11,0.215,0.01,1
201501_54,2015-01-12,2015,1,S,0.04724668284466934,female,asian,30-44,bachelor,self-employed,63347.19,638,21624.71,0.217,0.01,0
201501_55,2015-01-05,2015,1,W,0.04834281487403014,male,asian,60+,highschool,employed,41875.11,660,11255.0,0.3,0.01,1
201501_56,2015-01-02,2015,1,NE,0.04468848143136948,male,white,18-29,highschool,employed,68557.52,658,21266.76,0.243,0.01,0
201501_57,2015-01-16,2015,1,NE,0.05236796215317591,female,white,30-44,highschool,employed,45392.21,686,5405.81,0.22,0.01,0
201501_58,2015-01-05,2015,1,NE,0.045402878828830984,male,asian,60+,highschool,employed,51808.95,655,14020.44,0.233,0.01,0
201501_59,2015-01-15,2015,1,MW,0.05274967202508769,female,asian,45-59,highschool,employed,53142.67,657,16844.19,0.213,0.01,0
201501_60,2015-01-12,2015,1,MW,0.04108373353831881,male,other,30-44,highschool,employed,42715.09,634,11007.91,0.169,0.01,0
201501_61,2015-01-04,2015,1,MW,0.04338969241897162,male,white,30-44,bachelor,employed,63988.84,655,20259.13,0.214,0.01,0
201501_62,2015-01-15,2015,1,W,0.05206758608684835,female,white,30-44,highschool,employed,38295.26,655,7504.66,0.275,0.01,0
201501_63,2015-01-11,2015,1,MW,0.03884567841783022,male,asian,18-29,highschool,employed,50599.68,590,18287.31,0.178,0.01,0
201501_64,2015-01-16,2015,1,MW,0.046137299673020646,male,white,30-44,phd,employed,123320.24,649,40025.65,0.209,0.1203,1
201501_65,2015-01-23,2015,1,S,0.06153571377141214,female,hispanic,30-44,bachelor,employed,66104.2,679,15074.7,0.151,0.01,0
201501_66,2015-01-06,2015,1,NE,0.04196258382719387,female,hispanic,30-44,bachelor,employed,77356.87,665,17557.21,0.284,0.01,1
201501_67,2015-01-14,2015,1,W,0.04892316929266152,male,white,18-29,highschool,employed,41087.84,639,16085.5,0.143,0.01,0
201501_68,2015-01-18,2015,1,NE,0.051299413971242123,female,asian,60+,highschool,employed,40818.95,646,16523.03,0.151,0.01,0
201501_69,2015-01-12,2015,1,W,0.05190911435888655,male,asian,60+,highschool,employed,51872.13,663,10876.59,0.216,0.01,0
201501_70,2015-01-27,2015,1,S,0.04881524644560959,male,white,45-59,highschool,employed,38357.25,625,7908.57,0.31,0.01,1
201501_71,2015-01-11,2015,1,NE,0.04339771693457862,female,hispanic,30-44,highschool,employed,50631.92,618,11530.84,0.195,0.01,0
201501_72,2015-01-13,2015,1,NE,0.05260970782808449,female,white,30-44,highschool,employed,27175.35,645,1416.04,0.161,0.01,0
201501_73,2015-01-21,2015,1,W,0.04948492336616593,female,hispanic,45-59,highschool,employed,56875.5,614,10544.27,0.332,0.01,1
201501_74,2015-01-23,2015,1,S,0.05625246425172938,female,white,45-59,highschool,employed,36219.92,657,5038.42,0.099,0.01,0
201501_75,2015-01-11,2015,1,S,0.05673224104748488,female,hispanic,18-29,bachelor,self-employed,43116.19,582,7707.86,0.096,0.01,0
201501_76,2015-01-23,2015,1,S,0.051599876392107544,female,white,60+,highschool,employed,27678.96,675,6781.0,0.221,0.01,0
201501_77,2015-01-16,2015,1,NE,0.05116126848580502,male,white,45-59,bachelor,employed,51701.43,667,13862.22,0.165,0.01,0
201501_78,2015-01-15,2015,1,MW,0.0464653623664934,female,hispanic,60+,bachelor,employed,63806.71,661,22153.68,0.118,0.01,1
201501_79,2015-01-21,2015,1,NE,0.04642824290986816,male,white,45-59,bachelor,employed,68983.18,694,13252.38,0.25,0.01,0
201501_80,2015-01-15,2015,1,W,0.05732887255572378,male,white,30-44,highschool,employed,33300.39,700,12262.39,0.217,0.01,0
201501_81,2015-01-25,2015,1,S,0.05736916460455894,male,other,30-44,master,employed,59724.21,700,14075.1,0.161,0.01,1
201501_82,2015-01-04,2015,1,MW,0.03904348251398675,male,other,60+,bachelor,employed,55304.65,588,13628.31,0.1,0.01,0
201501_83,2015-01-11,2015,1,NE,0.05328276804316915,female,white,45-59,highschool,employed,60790.22,611,17896.83,0.261,0.01,0
201501_84,2015-01-19,2015,1,MW,0.04012659164886339,female,black,18-29,master,employed,63619.09,640,11413.88,0.295,0.01,0
201501_85,2015-01-15,2015,1,MW,0.04893542301871226,female,white,18-29,other,self-employed,17458.57,635,5894.28,0.243,0.01,0
201501_86,2015-01-04,2015,1,S,0.06079297789503702,male,white,30-44,highschool,employed,35342.57,661,9501.45,0.329,0.01,0
201501_87,2015-01-21,2015,1,S,0.05089658840824145,male,white,45-59,highschool,self-employed,31292.76,615,9793.0,0.125,0.01,0
201501_88,2015-01-13,2015,1,W,0.05281688064622161,male,black,60+,master,employed,49701.13,661,13581.96,0.083,0.01,0
201501_89,2015-01-22,2015,1,MW,0.04706390463468249,male,asian,18-29,master,employed,92319.55,655,32901.09,0.202,0.0304,1
201501_90,2015-01-19,2015,1,NE,0.05411030079997245,female,asian,30-44,highschool,self-employed,43334.15,625,8282.58,0.197,0.01,1
201501_91,2015-01-02,2015,1,S,0.06448396491326974,female,asian,30-44,highschool,employed,50432.06,601,10484.03,0.217,0.01,0
201501_92,2015-01-14,2015,1,S,0.05377305941998565,female,white,60+,bachelor,employed,76989.56,631,16754.83,0.173,0.01,1
201501_93,2015-01-04,2015,1,S,0.05123131917821255,male,white,45-59,bachelor,employed,69765.65,613,15219.5,0.225,0.01,0
201501_94,2015-01-16,2015,1,S,0.05055242785187238,female,white,45-59,bachelor,employed,55811.11,619,11403.23,0.112,0.01,0
201501_95,2015-01-21,2015,1,MW,0.040920948575172804,female,white,30-44,bachelor,employed,50684.74,687,17427.25,0.301,0.01,0
201501_96,2015-01-20,2015,1,S,0.05461449145292948,female,white,30-44,bachelor,employed,84233.6,634,26740.42,0.194,0.01,0
201501_97,2015-01-14,2015,1,MW,0.046705759874083215,female,hispanic,30-44,master,employed,73267.18,759,16033.81,0.278,0.01,0
201501_98,2015-01-27,2015,1,NE,0.0513834539966501,male,white,18-29,highschool,employed,44239.29,664,7730.4,0.274,0.01,0
201501_99,2015-01-15,2015,1,NE,0.05413591624518012,male,white,45-59,highschool,employed,43858.75,653,12850.35,0.232,0.01,0
201502_0,2015-02-16,2015,2,S,0.06124570320845559,female,black,30-44,master,employed,57596.89,648,25093.27,0.232,0.01,1
201502_1,2015-02-06,2015,2,S,0.05349953019381308,male,white,18-29,bachelor,employed,58777.22,692,18521.64,0.313,0.01,0
201502_2,2015-02-08,2015,2,NE,0.04989990550327786,female,hispanic,45-59,highschool,employed,34510.87,640,16957.11,0.171,0.01,0
201502_3,2015-02-13,2015,2,S,0.05691805985393966,female,white,45-59,bachelor,employed,60910.48,627,10598.34,0.157,0.01,0
201502_4,2015-02-16,2015,2,MW,0.04043400547109194,male,white,45-59,highschool,employed,39141.76,654,8898.13,0.188,0.01,0
201502_5,2015-02-03,2015,2,W,0.04658909710487376,male,black,30-44,highschool,employed,46639.08,680,14357.37,0.214,0.01,0
201502_6,2015-02-19,2015,2,W,0.0523265845101019,male,white,18-29,master,self-employed,80264.26,655,22211.63,0.204,0.01,0
201502_7,2015-02-12,2015,2,S,0.058820480392481375,male,other,30-44,bachelor,employed,46726.84,602,12909.46,0.173,0.01,0
201502_8,2015-02-16,2015,2,NE,0.05386553603347619,male,asian,30-44,master,employed,99147.65,761,15988.47,0.228,0.01,0
201502_9,2015-02-27,2015,2,W,0.04222410124429784,female,white,18-29,highschool,employed,42649.16,598,3812.53,0.261,0.01,0
201502_10,2015-02-11,2015,2,S,0.0538170982463543,female,white,45-59,master,employed,75724.66,660,25001.25,0.187,0.01,1
201502_11,2015-02-10,2015,2,NE,0.04801803082476098,male,white,60+,highschool,employed,50445.4,658,19392.67,0.068,0.01,0
201502_12,2015-02-25,2015,2,MW,0.047125894211373504,male,white,45-59,bachelor,employed,67549.09,649,16460.67,0.2,0.01,0
201502_13,2015-02-20,2015,2,S,0.05667828994824449,male,asian,45-59,other,employed,51326.59,648,18393.36,0.132,0.01,0
201502_14,2015-02-04,2015,2,NE,0.05077713665371469,female,white,60+,master,employed,81135.1,696,16190.86,0.259,0.01,0
201502_15,2015-02-12,2015,2,W,0.06032866977709965,male,white,18-29,bachelor,employed,75387.2,579,15669.1,0.228,0.01,0
201502_16,2015-02-23,2015,2,MW,0.04354596959927981,female,asian,30-44,highschool,employed,53158.2,607,8880.43,0.13,0.01,0
201502_17,2015-02-02,2015,2,NE,0.04796088456965728,female,white,60+,master,employed,82507.8,678,17227.27,0.186,0.01,0
201502_18,2015-02-24,2015,2,W,0.04221625164831972,female,black,18-29,bachelor,employed,56553.69,634,17029.21,0.339,0.01,0
201502_19,2015-02-22,2015,2,MW,0.037310763370355646,female,white,45-59,master,employed,63250.22,671,12363.15,0.244,0.01,0
201502_20,2015-02-19,2015,2,S,0.048898413113921124,male,other,30-44,master,employed,81743.58,684,29394.87,0.215,0.01,0
201502_21,2015-02-25,2015,2,NE,0.04640659037278361,female,white,30-44,highschool,employed,41945.02,572,12326.54,0.107,0.01,0
201502_22,2015-02-05,2015,2,NE,0.056550365472189265,male,white,45-59,highschool,employed,52165.64,696,17379.52,0.314,0.01,1
201502_23,2015-02-08,2015,2,S,0.0551958195218093,male,white,60+,bachelor,employed,60560.5,638,17099.89,0.147,0.01,0
201502_24,2015-02-07,2015,2,S,0.055966653334763666,female,white,45-59,highschool,self-employed,32168.35,611,12899.17,0.265,0.01,0
201502_25,2015-02-14,2015,2,S,0.05451863345898952,female,asian,18-29,highschool,employed,27541.97,646,3413.49,0.227,0.01,0
201502_26,2015-02-24,2015,2,S,0.056826504965108944,female,asian,45-59,other,employed,25180.47,641,12082.85,0.259,0.01,0
201502_27,2015-02-23,2015,2,S,0.06201036073608922,male,black,18-29,bachelor,employed,22038.54,673,6073.39,0.342,0.01,0
201502_28,2015-02-03,2015,2,NE,0.04003034581865982,male,white,30-44,master,unemployed,12223.87,651,7893.03,0.245,0.01,0
201502_29,2015-02-18,2015,2,MW,0.0510916865779269,female,white,30-44,bachelor,employed,84532.49,708,15374.87,0.253,0.01,0
201502_30,2015-02-16,2015,2,W,0.03542480773732497,male,white,30-44,bachelor,employed,58620.53,621,15377.46,0.193,0.01,0
201502_31,2015-02-23,2015,2,S,0.05514101355760964,female,white,30-44,highschool,employed,11485.68,636,3452.38,0.17,0.01,0
201502_32,2015-02-19,2015,2,S,0.06595953677372207,female,hispanic,60+,highschool,employed,43646.69,603,8434.73,0.2,0.01,0
201502_33,2015-02-19,2015,2,MW,0.04840328969765772,female,white,45-59,highschool,employed,63537.18,660,17136.77,0.176,0.01,0
201502_34,2015-02-18,2015,2,MW,0.04686529467660318,male,white,30-44,bachelor,employed,64729.21,653,22340.73,0.373,0.01,0
201502_35,2015-02-20,2015,2,S,0.06500972983401487,male,white,18-29,master,self-employed,71737.32,665,15149.72,0.181,0.01,0
201502_36,2015-02-16,2015,2,W,0.04448468550999428,male,asian,60+,bachelor,employed,79126.18,659,23628.96,0.26,0.01,0
201502_37,2015-02-08,2015,2,S,0.05716983711232524,female,asian,60+,bachelor,employed,49332.43,675,7823.41,0.226,0.01,1
201502_38,2015-02-01,2015,2,W,0.050890585487369466,male,hispanic,45-59,bachelor,employed,49842.88,589,20898.5,0.216,0.01,0
201502_39,2015-02-17,2015,2,S,0.05238798932886487,female,white,18-29,highschool,unemployed,8000.0,598,5138.4,0.354,0.01,0
201502_40,2015-02-12,2015,2,NE,0.0478294491025201,male,white,18-29,bachelor,employed,63165.45,655,22691.83,0.271,0.01,1
201502_41,2015-02-21,2015,2,MW,0.0422811028338833,female,hispanic,18-29,highschool,unemployed,8000.0,583,4688.24,0.205,0.01,0
201502_42,2015-02-11,2015,2,NE,0.05043657487004282,male,black,18-29,highschool,employed,44455.25,644,12676.26,0.27,0.01,0
201502_43,2015-02-05,2015,2,NE,0.05273345802885657,male,white,30-44,highschool,employed,38281.62,642,12742.14,0.187,0.01,0
201502_44,2015-02-27,2015,2,W,0.04861615136457331,male,asian,60+,bachelor,employed,90722.17,621,22134.75,0.225,0.01,0
201502_45,2015-02-12,2015,2,MW,0.04854730908714928,female,asian,30-44,master,employed,87109.6,628,15306.07,0.257,0.01,0
201502_46,2015-02-17,2015,2,S,0.04515426357013226,female,black,18-29,highschool,employed,41378.4,549,12134.2,0.19,0.01,0
201502_47,2015-02-06,2015,2,NE,0.04890874418128582,female,black,30-44,highschool,employed,37025.68,596,6234.41,0.284,0.01,0
201502_48,2015-02-01,2015,2,MW,0.03988290344824677,male,white,18-29,bachelor,employed,57391.7,654,9941.28,0.232,0.01,0
201502_49,2015-02-05,2015,2,NE,0.0515086125634145,male,white,18-29,highschool,employed,44792.94,653,13743.41,0.281,0.01,0
201502_50,2015-02-25,2015,2,NE,0.05143458714336162,female,white,30-44,phd,employed,112564.61,698,27024.72,0.243,0.01,0
201502_51,2015-02-14,2015,2,S,0.05442188942521273,male,hispanic,30-44,bachelor,employed,53781.34,620,17556.15,0.226,0.01,0
201502_52,2015-02-05,2015,2,MW,0.04755139505266035,male,hispanic,45-59,bachelor,employed,63156.06,651,12633.25,0.192,0.01,0
201502_53,2015-02-22,2015,2,S,0.05998906359132014,female,hispanic,60+,bachelor,employed,51777.84,660,11061.15,0.156,0.01,1
201502_54,2015-02-24,2015,2,NE,0.04969739738846846,female,white,30-44,highschool,employed,40404.31,601,14702.26,0.181,0.01,0
201502_55,2015-02-27,2015,2,NE,0.04474152555950149,female,asian,30-44,bachelor,self-employed,59403.59,659,15970.27,0.31,0.01,0
201502_56,2015-02-01,2015,2,MW,0.037093712145402594,female,asian,45-59,bachelor,employed,76804.28,686,13291.76,0.139,0.01,0
201502_57,2015-02-18,2015,2,S,0.05518055087665064,male,black,30-44,phd,employed,84662.72,655,22196.72,0.15,0.01,0
201502_58,2015-02-16,2015,2,S,0.0562093335075677,male,asian,18-29,highschool,self-employed,27303.57,676,12750.85,0.197,0.01,0
201502_59,2015-02-09,2015,2,MW,0.0401523805524001,female,hispanic,45-59,bachelor,employed,63929.94,636,14068.18,0.209,0.01,0
201502_60,2015-02-19,2015,2,MW,0.04862883411581516,female,white,18-29,bachelor,employed,49768.16,620,14834.27,0.143,0.01,1
201502_61,2015-02-22,2015,2,S,0.05270521557087713,male,white,30-44,highschool,employed,48092.22,669,8625.51,0.105,0.01,0
201502_62,2015-02-05,2015,2,NE,0.04171783567414425,male,white,30-44,bachelor,self-employed,68303.63,730,16528.78,0.182,0.01,0
201502_63,2015-02-27,2015,2,MW,0.051282181711725945,male,white,30-44,master,employed,84946.66,680,25596.01,0.11,0.01,0
201502_64,2015-02-02,2015,2,W,0.05371993959601082,female,black,30-44,master,employed,72900.05,689,19101.94,0.116,0.01,0
201502_65,2015-02-15,2015,2,S,0.04492200281668451,female,asian,45-59,highschool,employed,49227.8,632,17464.03,0.11,0.01,0
201502_66,2015-02-07,2015,2,MW,0.042186998591731535,female,white,18-29,master,employed,91513.72,637,24579.64,0.191,0.01,0
201502_67,2015-02-04,2015,2,W,0.04499208159292862,male,white,18-29,other,employed,47723.52,655,20805.84,0.301,0.01,0
201502_68,2015-02-01,2015,2,S,0.06319744329708751,female,black,45-59,master,employed,56027.5,669,7747.22,0.267,0.01,0
201502_69,2015-02-13,2015,2,MW,0.044503536449791714,female,white,30-44,highschool,employed,42574.07,634,9774.74,0.334,0.01,0
201502_70,2015-02-20,2015,2,S,0.04752060900972291,male,white,18-29,master,employed,87820.35,701,17616.95,0.382,0.01,0
201502_71,2015-02-22,2015,2,S,0.05941052391120439,male,white,45-59,highschool,employed,59790.98,632,10882.75,0.255,0.01,0
201502_72,2015-02-07,2015,2,MW,0.03884612227116959,male,white,30-44,other,employed,34047.87,610,4483.23,0.272,0.01,0
201502_73,2015-02-15,2015,2,MW,0.04369829754639119,male,white,45-59,bachelor,employed,70328.83,697,18253.11,0.209,0.01,0
201502_74,2015-02-23,2015,2,MW,0.04115115561059562,female,white,45-59,highschool,employed,51244.81,688,13716.41,0.236,0.01,0
201502_75,2015-02-14,2015,2,S,0.0521977245086003,male,white,30-44,master,employed,68375.95,647,18803.81,0.336,0.01,0
201502_76,2015-02-23,2015,2,MW,0.04968629044781969,female,hispanic,30-44,highschool,employed,53730.78,707,8940.45,0.226,0.01,0
201502_77,2015-02-19,2015,2,W,0.05560665080666083,male,white,60+,other,employed,31148.15,631,6490.14,0.271,0.01,0
201502_78,2015-02-22,2015,2,S,0.04862815626810311,male,asian,18-29,other,employed,47419.86,652,7997.79,0.185,0.01,0
201502_79,2015-02-24,2015,2,NE,0.05313038212753909,male,white,45-59,bachelor,employed,71303.2,658,21569.33,0.153,0.01,0
201502_80,2015-02-20,2015,2,S,0.05133623185155002,male,white,18-29,highschool,employed,38355.76,663,6107.87,0.272,0.01,0
201502_81,2015-02-24,2015,2,MW,0.04149164044987962,female,black,30-44,bachelor,employed,76103.33,668,18170.98,0.21,0.01,0
201502_82,2015-02-18,2015,2,S,0.057453181107113574,female,white,30-44,highschool,unemployed,8000.0,638,4241.23,0.157,0.01,0
201502_83,2015-02-10,2015,2,S,0.049860486171431524,female,white,60+,highschool,unemployed,8000.0,593,1000.0,0.359,0.01,0
201502_84,2015-02-09,2015,2,NE,0.05235301300387522,female,white,60+,master,employed,102564.79,627,28416.71,0.202,0.0157,0
201502_85,2015-02-25,2015,2,MW,0.04865056678254867,male,black,18-29,highschool,employed,40336.04,680,16468.33,0.219,0.01,1
201502_86,2015-02-08,2015,2,NE,0.04783733869150491,male,white,18-29,bachelor,self-employed,74245.99,643,19320.34,0.261,0.01,0
201502_87,2015-02-26,2015,2,NE,0.056635390510068336,male,white,45-59,other,employed,41068.69,644,13873.62,0.202,0.01,0
201502_88,2015-02-10,2015,2,MW,0.03863587693969246,female,black,30-44,highschool,employed,35887.43,649,1000.0,0.213,0.01,0
201502_89,2015-02-17,2015,2,MW,0.05172703095305836,male,white,18-29,highschool,employed,58909.36,711,13011.13,0.138,0.01,0
201502_90,2015-02-02,2015,2,W,0.038280062852574334,male,black,45-59,other,employed,25916.46,639,7218.72,0.29,0.01,0
201502_91,2015-02-06,2015,2,MW,0.058498570702097547,female,asian,30-44,highschool,employed,44856.23,634,7002.2,0.295,0.01,0
201502_92,2015-02-26,2015,2,MW,0.04296898880689084,male,other,60+,master,employed,84695.04,659,22004.36,0.293,0.01,0
201502_93,2015-02-05,2015,2,S,0.04918846421806191,male,white,18-29,other,employed,32241.39,640,12300.11,0.273,0.01,0
201502_94,2015-02-09,2015,2,NE,0.04883664045740001,male,hispanic,30-44,phd,employed,98248.54,647,17043.89,0.246,0.01,0
201502_95,2015-02-05,2015,2,W,0.04276761028687786,female,white,30-44,bachelor,employed,77684.85,665,14664.92,0.139,0.01,0
201502_96,2015-02-18,2015,2,S,0.056934826494272714,female,white,45-59,highschool,employed,51158.06,649,13528.77,0.258,0.01,0
201502_97,2015-02-26,2015,2,S,0.061838286657350736,female,white,30-44,highschool,employed,36391.66,701,10939.59,0.218,0.01,0
201502_98,2015-02-20,2015,2,NE,0.04503271886971662,male,asian,30-44,master,employed,100951.6,683,28190.22,0.168,0.01,0
201502_99,2015-02-09,2015,2,MW,0.04789699619587001,female,white,18-29,master,employed,74273.12,605,19011.84,0.311,0.01,0
201503_0,2015-03-26,2015,3,NE,0.047898024388191865,female,white,60+,bachelor,employed,70515.09,650,14284.79,0.15,0.01,0
201503_1,2015-03-18,2015,3,S,0.06181308513306684,female,other,18-29,other,employed,35040.53,620,13857.69,0.245,0.01,0
201503_2,2015-03-09,2015,3,NE,0.051650713078945365,female,white,30-44,bachelor,employed,67684.6,690,12962.69,0.244,0.01,0
201503_3,2015-03-06,2015,3,S,0.05947183943606187,female,white,45-59,master,employed,63477.61,649,14893.79,0.22,0.01,0
201503_4,2015-03-11,2015,3,S,0.05498916773386057,female,white,45-59,highschool,employed,41282.89,644,11865.95,0.214,0.01,0
201503_5,2015-03-25,2015,3,S,0.06136029491169941,female,black,30-44,bachelor,employed,40645.32,618,8609.73,0.183,0.01,1
201503_6,2015-03-06,2015,3,S,0.04923188004858662,female,asian,18-29,highschool,unemployed,16451.67,580,1000.0,0.245,0.01,0
201503_7,2015-03-06,2015,3,S,0.055568122287471634,female,white,18-29,highschool,self-employed,47740.61,614,15644.78,0.306,0.01,0
201503_8,2015-03-13,2015,3,S,0.05301782085284293,male,white,30-44,bachelor,self-employed,34594.43,625,6154.75,0.059,0.01,0
201503_9,2015-03-11,2015,3,NE,0.05698314239753656,female,hispanic,30-44,other,employed,49648.08,636,15391.61,0.199,0.01,0
